config,item,purchased_MUSD,basis,source,yield_basis,note
X4-grid,"Stage 1 pyrolysis furnace + reactor (H2-fired, 1200 K)",2.0817757011678157,4.16 MW fired x 0.50 MUSD/MW,assumption (fired-heater class),equilibrium,
X4-grid,"Stage 2 reactor (950 K, tau 3 s)",1.436653884450541,29 m3 x 50 kUSD/m3,assumption,equilibrium,
X4-grid,"Stage 3 reactor (650 K, tau 3 s)",0.25154491813614827,6 m3 x 40 kUSD/m3,assumption,equilibrium,
X4-grid,H2 membrane (vacuum permeate),3.965527665222722,"9,914 Nm3/h feed x 400 USD/(Nm3/h)",assumption,equilibrium,
X4-grid,CH4 separation at Stage 3 outlet,3.6590855,"2,439 Nm3/h x 1,500 USD/(Nm3/h)",assumption (SGC 2013:270 Fig.5 order),equilibrium,
X4-grid,Heat exchanger network,1.002,"1,670 m2 (T4 area target, U=50) x 600 USD/m2",assumption,equilibrium,
X4-grid,Air-cooled condensers,0.5152,"5,152 kW x 100 USD/kW",assumption,equilibrium,
X4-grid,Blowers / vacuum pump,0.333,"222 kW x 1,500 USD/kW",assumption,equilibrium,
X4-grid,Solid carbon handling,0.6,lump sum,assumption,equilibrium,
X4-grid,"H2 export compression, purge/flare",0.3,lump sum,assumption,equilibrium,
X4-grid,"Stage 1 pyrolysis furnace + reactor (H2-fired, 1200 K)",1.856549863078573,3.71 MW fired x 0.50 MUSD/MW,assumption (fired-heater class),kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,"Stage 2 reactor (950 K, tau 3 s)",6.663815180159884,133 m3 x 50 kUSD/m3,assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,"Stage 3 reactor (650 K, tau 3 s)",4.1762209068325635,104 m3 x 40 kUSD/m3,assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,H2 membrane (vacuum permeate),18.393813387392054,"45,985 Nm3/h feed x 400 USD/(Nm3/h)",assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,CH4 separation at Stage 3 outlet,60.74918737462621,"40,499 Nm3/h x 1,500 USD/(Nm3/h)",assumption (SGC 2013:270 Fig.5 order),kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,Heat exchanger network,0.72,"1,200 m2 (T4 area target, U=50) x 600 USD/m2",assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,Air-cooled condensers,0.3,"3,000 kW x 100 USD/kW",assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,Blowers / vacuum pump,0.333,"222 kW x 1,500 USD/kW",assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,Solid carbon handling,0.6,lump sum,assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
X4-grid,"H2 export compression, purge/flare",0.3,lump sum,assumption,kinetic,as-modelled kinetic loop (information only; TEA uses equilibrium-sized plant)
